username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-01 18:58;0;0;"NFL Player Who Disrespected Anthem Was Just Arrested – Look How Many felonies https://youtu.be/JAgF7UevhQc via 1 of the NFL keeds Stolen Gun RT";;;;"914640703178903554";https://twitter.com/LoonToonNews/status/914640703178903554
;2017-10-01 18:58;1;5;"I guess he doesn't know that we have to take a class and keep a license for our guns!";;;;"914640698351194113";https://twitter.com/PoliticallyRYT/status/914640698351194113
;2017-10-01 18:58;0;3;"Gun violence has @ Indytenpoint & pastors calling out city leaders for change. At least 5 killed this weekend alone.http://www.wthr.com/article/10-point-coalition-takes-a-collective-knee-to-protest-weekend-violence …";;@;;"914640683323068417";https://twitter.com/JennieWTHR/status/914640683323068417
;2017-10-01 18:58;0;0;"Watch This "Drone Gun" Safely Take Down a DJI Phantom | Inverse http://ref.gl/Lz6XvQYM";;;;"914640640239050752";https://twitter.com/OneDroneZone/status/914640640239050752
;2017-10-01 18:58;0;1;"When will you do a story on all the Americans who suffer gun injuries everyday?";;;;"914640626515369985";https://twitter.com/spartanfan0508/status/914640626515369985
;2017-10-01 18:58;0;0;"Hey wait a sec, he's on his knee so that obviously means he's a flag hating liberal who hates the troops and wants your guns right?";;;;"914640617585684481";https://twitter.com/ComfyBrownChair/status/914640617585684481
;2017-10-01 18:58;13;35;"the lack of discuss on Steve Scalise opinion on the rampant availability of guns. # 60minutes";;;#;"914640606852468737";https://twitter.com/franklin19788/status/914640606852468737
;2017-10-01 18:58;0;0;"Latest on Tech: This "Ghost Gun" Machine Now Makes Untraceable Metal Handguns http://ift.tt/2yiFpkg";;;;"914640600829448192";https://twitter.com/YudhaK15/status/914640600829448192
;2017-10-01 18:58;39;101;"My Story•I'm Not 2 Blame•23yrs In A Psycholog'l,Physical& Emotion'l Abus've Marr'ge Ending w/Gun Violence 2 Me~That Day? My 1st Day of Life pic.twitter.com/2i0zRvUY8B";;;;"914640588720431109";https://twitter.com/LayneeRN17/status/914640588720431109
;2017-10-01 18:58;0;0;"Guns N Roses & Alice In Chains Tickets http://tinyurl.com/zcfok22 # iztacalco # mexico # gunsnrosesaliceinchains # ticketspic.twitter.com/TozsDGDpDd";;;# # # #;"914640582500380675";https://twitter.com/click_go_org/status/914640582500380675
;2017-10-01 18:57;0;0;"Lolol while u tweet bout Gun man inna... nvm";;;;"914640570647269380";https://twitter.com/DonGeff/status/914640570647269380
;2017-10-01 18:57;1;2;"Sweet Child O' Mine (Guns N' Roses Cover) https://youtu.be/50khn5S8bVU via @ YouTube # acousticcovers # gunsnrosescover";;@;# #;"914640545343041536";https://twitter.com/ChozoBeast/status/914640545343041536
;2017-10-01 18:57;0;0;"If gun shy = sucks. Yep.";;;;"914640531434516480";https://twitter.com/MissySims1010/status/914640531434516480
;2017-10-01 18:57;0;0;"Rep.Steve Scalise good recovery!obviously the question is what are you going to do about gun control&are you still want to dismantle ACA? https://twitter.com/46fuzym/status/914639618770980864 …";;;;"914640510345732096";https://twitter.com/46Fuzym/status/914640510345732096
;2017-10-01 18:57;0;0;"Two days ago - myArmsCache: The App That Tracks Your Guns, Ammo http://bit.ly/2xHSlgn";;;;"914640505765494786";https://twitter.com/SWFA_Outdoors/status/914640505765494786
;2017-10-01 18:57;0;0;"Be Cool - Don't Give Me No Gun Then http://fb.me/39NpILE14";;;;"914640496399589377";https://twitter.com/JohnsonDouge/status/914640496399589377
;2017-10-01 18:57;0;0;"BLACK POWER, BLACK POWDER INTO BLACK GUN. BLACK KILL BLACK THE CHICAGO WAY. ABOUT TIME TO TAKE 2 KNEES BEFORE YOU CLOSE YOUR EYES. READY? https://twitter.com/hrtablaze/status/914555330830331904 …";;;;"914640485221912576";https://twitter.com/litoborja/status/914640485221912576
;2017-10-01 18:57;0;0;"Hi @ Telegraph why the beaten up is carrying what seems to be a gun? I didn't see any yesterday at all... this artwork might be misleading";;@;;"914640484512890880";https://twitter.com/nanitwitts/status/914640484512890880
